id_fs;lib_fs
1;France services de Valserhône
2;France services de Saint-Trivier-de-Courtes
3;Bus France services Thiérache Sambre et Oise
4;France services Nouvion-en-Thiérache
5;France services de Ribemont
6;France services Vailly-sur-Aisne
7;France services Saint-Erme
8;Bus France services La Bourbon’NET
9;France services Pays de Lapalisse
10;France services Le Donjon
11;France services Le Montet
12;France services Le Mayet de Montagne - Montagne Boubonnaise
13;France services Dompierre sur Besbre
14;France services Huriel
15;France services Montmarault
16;France services Marcillat en Combraille
17;France services Ebreuil
18;France services Puget-Théniers
19;France services Tende
20;France services Maison du département de Roquebillière
21;France services Maison du département de Saint-Vallier de Thiey
22;France services L’Épi
23;France services Saint Etienne de Tinée
24;France services Colomars
25;France services Maison du département de Plan du Var
26;France services Maison du département de Saint-André de la Roche
27;France services Les Monts d’Azur
28;France services Vernoux en Vivarais
29;France services Saint-Agrève
30;France services Thueyts
31;France services Saint Marcel d'Ardèche
32;France services Carignan
33;France services Bogny-sur-Meuse
34;France services Attigny
38;France services Ouest Avenue Sedan
46;France services Signy-le-Petit
47;Bus France services de Vouziers
48;France services Poix-Terron
50;France services Signy-l’Abbaye
51;France services Revin
53;France services Ax les Thermes
54;France services Saint-Girons
55;France services Tarascon sur Ariège
56;France services Mirepoix
57;France services Saint-Lyé
58;France services d'Estissac
59;France services Bar sur Aube
60;France services Soulaines
62;France services Pimms Médiation du Narbonnais - Narbonne
63;France services Pimms Médiation du Narbonnais - Corbières Méditerranée
64;France services de Bram
65;France services du Limouxin
66;France services Massif de Mouthoumet POM's - ADHCo
67;France services de Salles sur l'Hers
68;France services de Capendu
69;France services Arvieu
70;France services Pays d’Olt et d’Aubrac
71;France services Réquista « Le Bercail »
72;France services Conques Marcillac
73;France services Bozouls Comtal
74;France services Argences en Aubrac
75;France services itinérant Pays Ségali - Naucelle
76;France services Marseille 2ème - Panier
77;France services Port-Saint-Louis
78;France services Saintes Maries de la Mer
79;France services Caen Pierre Heuzé
80;France services Caen Venoix
81;France services Condé en Normandie
82;France services Terre d’Auge
83;France services Livarot Pays d'Auge
84;France services de Ouistreham
85;France services Evrecy
86;France services Thury Harcourt Le Hom
87;France services Isigny sur mer
88;France services Mézidon
89;France services Val ès Dunes
90;France services Noues de Sienne
91;France services Potigny
92;France services Dozulé
93;France services Courseulles sur Mer
94;France services Troarn
95;France services Pont d'Ouilly
96;France services Point Info 14 de Trévières
97;France services Chaudes Aigues
98;France services Hôtel Numérique de Montsalvy
99;France services de Murat - Antenne de Neussargues en Pinatelle
100;France services Condat
101;France services Sumène Artense
102;France services Pierrefort
103;France services de Murat
104;France services Maurs
105;France services Châteauneuf sur Charente
106;France services Montmoreau
107;France services Barbezieux
108;France services Montemboeuf
109;France services Saint-Séverin
110;France services Centre Arc en Ciel
111;France services La Maison Pop’
112;France services Maison des Initiatives Marennes (MIS)
113;France services Saint-Jean-d’Angély
114;France services Saint-Martin de Ré
115;France services Tonnay-Charente
116;France services MSA Jonzac
117;France services Médis
118;France services Terres du Haut Berry - Simone Veil
119;France services de Sancoins
120;France services Aubigny sur Nère
121;France services Saint-Ybard
122;France services Ayen
123;France services Chamberet
124;France services Jardins de l'Empereur - Ajaccio
125;France services Vico
126;France services Calacuccia
127;France services Castello-Di-Rostino
128;France services Is-sur-Tille
129;France services Semur-en-Auxois
130;France services Arnay-le-Duc
131;France services Pontailler-sur-Saône
132;France services Mirebeau-sur-Bèze
133;France services Saint-Brieuc
134;France services Tréguier
135;France services Le Mené
136;France services Loudéac
137;France services Boussac
138;France services de Dun- Le Palestel - LaPalette
139;France services Pays de Belvès
140;France services Thenon Hautefort
141;France services Lanouaille
142;France services Nontron
143;France services Thenon Hautefort - Antenne de Hautefort
144;France services Mussidan
145;France services Saint-Exupéry
146;France services Besançon Planoise
147;France services Baume les Dames
149;France services Montbéliard
150;France services Amancey
151;France services Premiers Sapins
152;France services Sochaux
153;France services Gilley
154;France services Valdahon
155;France services Die
156;France services Saint-Jean-en-Royans
157;France services Livron
158;France services Pimms Médiation Portes de Provence
159;France services Evreux Portes de Normandie Relais des Services Publics
